year,month,day,sum_sale_dollars
2014,9,25,964356.84
2014,9,29,1769599.00
2014,9,30,1361751.94
2014,10,1,1879638.65
2014,10,2,1303371.77
2014,10,3,307.08
2014,10,6,1735352.15
2014,10,7,1517885.80
2014,10,8,1666150.48
2014,10,9,1161701.65
2014,10,10,14417.42
2014,10,13,2000919.93
2014,10,14,1282293.27
2014,10,15,1868322.91
2014,10,16,1052932.05
2014,10,20,1426464.15
2014,10,21,1171366.15
2014,10,22,1589882.26
2014,10,23,1127692.90
2014,10,24,157.50
2014,10,27,1623357.64
2014,10,28,1286818.70
2014,10,29,1589177.55
2014,10,30,1244198.08
2014,11,3,1296369.62
2014,11,4,1109568.08
2014,11,5,1756067.48
2014,11,6,991629.00
2014,11,7,1307231.93
2014,11,10,864065.83
2014,11,12,1782969.19
2014,11,13,1119391.22
2014,11,17,1780714.71
2014,11,18,1384931.41
2014,11,19,1630158.89
2014,11,20,1092086.08
2014,11,21,1035402.76
2014,11,22,820830.35
2014,11,24,1308077.11
2014,11,25,972534.13
2014,11,26,20731.95
2014,12,1,1993370.88
2014,12,2,1417302.37
2014,12,3,1792512.78
2014,12,4,1421430.44
2014,12,8,1836838.20
2014,12,9,1508478.39
2014,12,10,1927412.55
2014,12,11,1279050.97
2014,12,12,17405.22
2014,12,15,1718556.77
2014,12,16,1175237.54
2014,12,17,1800738.89
2014,12,18,1264565.62
2014,12,19,1242956.34
2014,12,20,1001388.75
2014,12,22,1631525.51
2014,12,23,1076891.93
2014,12,24,75213.18
2014,12,26,1701750.21
2014,12,27,1365251.16
2014,12,29,2030639.35
2014,12,30,1276853.75
2014,12,31,70171.62
2015,1,5,1621501.80
2015,1,6,1149511.54
2015,1,7,1469466.12
2015,1,8,1019332.31
2015,1,12,1147093.19
2015,1,13,1202579.67
2015,1,14,825379.31
2015,1,15,931738.28
2015,1,16,941445.98
2015,1,20,1008364.61
2015,1,21,1420456.65
2015,1,22,1003176.98
2015,1,23,2608.36
2015,1,26,1528847.42
2015,1,27,900814.28
2015,1,28,1350540.10
2015,1,29,975651.71
2015,2,2,1478246.26
2015,2,3,1100506.08
2015,2,4,1551772.31
2015,2,5,1241992.40
2015,2,6,1739.52
2015,2,9,1774056.49
2015,2,10,1331928.21
2015,2,11,1855145.36
2015,2,12,1008147.68
2015,2,16,1413494.56
2015,2,17,1143801.97
2015,2,18,1276732.72
2015,2,19,1061228.25
2015,2,23,1404107.64
2015,2,24,1164233.11
2015,2,25,1334903.66
2015,2,26,1082316.19
2015,3,2,1391592.96
2015,3,3,1251984.54
2015,3,4,1373371.14
2015,3,5,1116740.08
2015,3,6,1680.28
2015,3,9,1625407.38
2015,3,10,1119824.77
2015,3,11,1291384.71
2015,3,12,1097627.00
2015,3,16,1933721.55
2015,3,17,1582495.67
2015,3,18,1643429.98
2015,3,19,989498.35
2015,3,23,1213496.24
2015,3,24,982348.49
2015,3,25,1115798.43
2015,3,26,966668.52
2015,3,30,1383880.97
2015,3,31,1181418.65
2015,4,1,1322708.48
2015,4,2,1035950.49
2015,4,6,1475232.46
2015,4,7,1169869.40
2015,4,8,1256737.76
2015,4,9,977682.71
2015,4,13,1293197.15
2015,4,14,1142418.23
2015,4,15,1243910.62
2015,4,16,1023391.10
2015,4,20,1429471.39
2015,4,21,1021739.44
2015,4,22,1264526.73
2015,4,23,978767.07
2015,4,27,1834953.75
2015,4,28,1503585.35
2015,4,29,1762227.00
2015,4,30,1120894.20
2015,5,1,447.90
2015,5,4,1723452.36
2015,5,5,1261416.33
2015,5,6,1432657.70
2015,5,7,1056131.26
2015,5,11,1443850.96
2015,5,12,1283687.27
2015,5,13,1242910.59
2015,5,14,1400884.86
2015,5,18,1860118.48
2015,5,19,1939572.90
2015,5,20,1601447.04
2015,5,21,1206831.79
2015,5,22,1100271.43
2015,5,26,1338108.89
2015,5,27,1415751.47
2015,5,28,1128029.85
2015,5,29,1799.88
2015,6,1,1824835.24
2015,6,2,1268427.54
2015,6,3,1313717.68
2015,6,4,1129701.33
2015,6,5,3856.55
2015,6,8,1444765.69
2015,6,9,1320223.42
2015,6,10,1380308.00
2015,6,11,1052322.54
2015,6,12,2431.68
2015,6,15,1997167.50
2015,6,16,1788798.95
2015,6,17,1659838.76
2015,6,18,1100722.78
2015,6,19,220.60
2015,6,22,1548657.89
2015,6,23,1389231.59
2015,6,24,1435911.66
2015,6,25,1290267.55
2015,6,26,1295475.26
2015,6,29,1510274.34
2015,6,30,1332526.58
2015,7,1,1144628.78
2015,7,2,67478.35
2015,7,6,1497165.33
2015,7,7,1410850.26
2015,7,8,1365503.68
2015,7,9,1109700.70
2015,7,13,1589230.79
2015,7,14,1369961.14
2015,7,15,1308637.14
2015,7,16,974687.48
2015,7,20,1394616.55
2015,7,21,1157432.84
2015,7,22,1203938.28
2015,7,23,978240.58
2015,7,27,1643276.34
2015,7,28,1485162.33
2015,7,29,1557670.39
2015,7,30,1155134.94
2015,7,31,849.60
2015,8,3,1599892.07
2015,8,4,1217479.36
2015,8,5,1333731.75
2015,8,6,1096741.24
2015,8,7,8316.78
2015,8,10,1312188.91
2015,8,11,1186893.15
2015,8,12,1149033.78
2015,8,13,1073879.03
2015,8,17,1405559.55
2015,8,18,1138243.44
2015,8,19,1381813.55
2015,8,20,1047115.05
2015,8,24,1626610.53
2015,8,25,1426777.30
2015,8,26,1549701.14
2015,8,27,1131291.98
2015,8,31,1431128.94
2015,9,1,1344662.85
2015,9,2,1658918.68
2015,9,3,1271790.29
2015,9,4,1200999.44
2015,9,8,1282477.76
2015,9,9,1477395.25
2015,9,10,1094993.49
2015,9,14,1756913.06
2015,9,15,1359339.02
2015,9,16,1219471.03
2015,9,17,1034101.44
2015,9,18,4569.33
2015,9,21,1472361.02
2015,9,22,1155461.16
2015,9,23,1369871.68
2015,9,24,976726.04
2015,9,25,6050.40
2015,9,28,1645347.52
2015,9,29,1346297.12
2015,9,30,1435613.59
2015,10,1,1619710.48
2015,10,2,5186.54
2015,10,5,1681203.09
2015,10,6,1572074.52
2015,10,7,1561224.52
2015,10,8,1221182.57
2015,10,12,1946626.61
2015,10,13,1633405.91
2015,10,14,1852181.71
2015,10,15,1262658.34
2015,10,19,1698777.88
2015,10,20,1607045.38
2015,10,21,1513646.25
2015,10,22,1101736.67
2015,10,26,1536830.01
2015,10,27,1396452.25
2015,10,28,1470821.25
2015,10,29,1232219.85
2015,10,30,264.24
2015,11,2,1610574.34
2015,11,3,1234313.75
2015,11,4,1444461.81
2015,11,5,1048052.47
2015,11,9,1644053.06
2015,11,10,1411690.27
2015,11,11,1397286.41
2015,11,12,1144243.93
2015,11,16,1602469.78
2015,11,17,1258836.02
2015,11,18,1982523.68
2015,11,19,1265565.16
2015,11,20,1406158.75
2015,11,21,958084.86
2015,11,23,1261884.12
2015,11,24,1009775.73
2015,11,25,85415.44
2015,11,30,1953325.48
2015,12,1,1990001.56
2015,12,2,1699203.34
2015,12,3,1496925.69
2015,12,4,5208.85
2015,12,7,1893163.13
2015,12,8,1457864.82
2015,12,9,1774018.98
2015,12,10,1378871.83
2015,12,14,1801538.91
2015,12,15,1628488.88
2015,12,16,1619874.96
2015,12,17,1336313.67
2015,12,18,1407056.01
2015,12,21,1682710.22
2015,12,22,1868452.48
2015,12,23,1348003.29
2015,12,24,18753.00
2015,12,26,1778571.28
2015,12,28,1594419.84
2015,12,29,1565418.00
2015,12,30,1314665.72
2015,12,31,23613.45
2016,1,4,1594658.23
2016,1,5,1174987.47
2016,1,6,1215470.88
2016,1,7,1042350.38
2016,1,11,1233572.27
2016,1,12,1053016.90
2016,1,13,1106050.71
2016,1,14,878231.26
2016,1,15,1010663.72
2016,1,19,1062818.20
2016,1,20,1186966.99
2016,1,21,890906.19
2016,1,25,1629805.06
2016,1,26,1313079.98
2016,1,27,1433498.85
2016,1,28,1191978.27
2016,2,1,1667068.98
2016,2,2,1483907.65
2016,2,3,1432550.84
2016,2,4,1120044.40
2016,2,8,1534156.38
2016,2,9,1200080.07
2016,2,10,1423229.90
2016,2,11,1072858.28
2016,2,12,932.40
2016,2,15,1416190.89
2016,2,16,1334043.06
2016,2,17,1543665.95
2016,2,18,1048587.31
2016,2,19,40.64
2016,2,22,1489320.99
2016,2,23,1166548.49
2016,2,24,1313995.91
2016,2,25,1208505.20
2016,2,29,1346115.14
2016,3,1,1156289.18
2016,3,2,1244331.74
2016,3,3,1063212.98
2016,3,4,4516.92
2016,3,7,1700833.12
2016,3,8,1164134.29
2016,3,9,1519300.50
2016,3,10,1133863.97
2016,3,11,668.88
2016,3,14,1450750.91
2016,3,15,1126707.19
2016,3,16,1239363.12
2016,3,17,1136362.67
2016,3,21,1543921.29
2016,3,22,1297912.74
2016,3,23,1278808.45
2016,3,24,1070251.42
2016,3,25,3198.30
2016,3,28,1368181.63
2016,3,29,1037876.78
2016,3,30,1211647.84
2016,3,31,954312.42
2016,4,4,1713227.22
2016,4,5,1318654.90
2016,4,6,1666471.84
2016,4,7,1199488.02
2016,4,11,1633486.89
2016,4,12,1241778.12
2016,4,13,1380048.22
2016,4,14,1013020.12
2016,4,15,22612.56
2016,4,18,1572773.84
2016,4,19,1328561.33
2016,4,20,1299910.56
2016,4,21,1131382.98
2016,4,25,1867768.88
2016,4,26,1434063.69
2016,4,27,1593341.78
2016,4,28,1246499.48
2016,4,29,3934.18
2016,5,2,1620501.21
2016,5,3,1501379.16
2016,5,4,1566492.56
2016,5,5,1196262.16
2016,5,6,15141.36
2016,5,9,1658718.31
2016,5,10,1413433.91
2016,5,11,1507130.90
2016,5,12,1153231.73
2016,5,13,5904.72
2016,5,16,1572592.56
2016,5,17,1412265.37
2016,5,18,1485359.69
2016,5,19,1159757.32
2016,5,20,4035.84
2016,5,23,1622334.70
2016,5,24,1543874.91
2016,5,25,1484011.65
2016,5,26,1223944.34
2016,5,27,1298102.81
2016,5,31,1374700.95
2016,6,1,1426989.69
2016,6,2,1209373.19
2016,6,3,7465.98
2016,6,6,2219798.24
2016,6,7,1480915.98
2016,6,8,1527941.50
2016,6,9,1139157.27
2016,6,10,20410.20
2016,6,13,1755614.29
2016,6,14,1458645.34
2016,6,15,1368799.90
2016,6,16,1130429.87
2016,6,20,1569972.58
2016,6,21,1635035.96
2016,6,22,1570444.89
2016,6,23,1146034.60
2016,6,24,11509.08
2016,6,27,1908342.07
2016,6,28,1801455.14
2016,6,29,1658460.00
2016,6,30,1291874.22
2016,7,1,968894.12
2016,7,5,1363731.72
2016,7,6,1407992.21
2016,7,7,1115964.40
2016,7,8,4848.24
2016,7,11,1813927.18
2016,7,12,1303189.57
2016,7,13,1361995.29
2016,7,14,1212522.67
2016,7,15,731773.42
2016,7,18,1048128.22
2016,7,19,791877.83
2016,7,20,1210653.92
2016,7,21,1232599.08
2016,7,22,516612.34
2016,7,25,1504872.07
2016,7,26,1051084.48
2016,7,27,1392801.98
2016,7,28,1356516.11
2016,7,29,598280.77
2016,8,1,1235545.08
2016,8,2,932732.67
2016,8,3,1439719.78
2016,8,4,1287225.46
2016,8,5,548365.21
2016,8,8,1480760.04
2016,8,9,1152568.55
2016,8,10,1427518.32
